facil_ty_k;facil_ty;aktiv;begrebsdefinition
1022;"Bålplads";1;"Afgrænset plads til bål eller grill til offentlig brug.  Ikke alle bålsteder har grill-muligheden."
1031;"Legeplads";1;"En legeplads er et afgrænset sted udendørs, som er tilrettelagt for at børn kan lege der."
1041;"Naturlegeplads";1;"Legeplads ude i naturen typisk bygget med naturens egne matrialer. Træstammer og sten m.v."
1072;"Blå Flag facilitet";1;"Faciliteter til Blå Flag badestrande, f.eks. infostandere, redningsposter mm."
1082;"Spejderhytte";1;"Bygning, hvor en eller flere spejdergrupper holder til."
1091;"Friluftsbad/Svømmebad";1;"Område med et eller flere badebassinner, der kan være overdækket eller under åben himmel. Dækker også havnebad."
1102;"Slæbested";1;"Anlæg til ophaling eller isætning af mindre både, evt. med spil."
1142;"Virtuelt oplevelsespunkt";1;"Virtuelle oplevelsespunkter/Hotspots, som kan tilgås fx via apps eller lignende."
1162;"Cykelparkering";1;"Opstillet cykelstativ eller anden fast opstilling, der gør det muligt at parkere sin cykel."
1182;"Turistinformation";1;"Kontor/lokaler, der har til formål at informere turister om lokalområdet."
1211;"Vandlegeplads";1;"Legeplads med særlige redskaber og faciliteter til leg med vand."
1222;"Vandpost";1;"Offentligt tilgængeligt drikkevand. Kan være lukket om vinteren."
1232;"Trækfærge";1;"En trækfærge er en pram som er forbundet med en wire. Trækfærgen forbinder bredderne på en å eller et vandløb så man kan med egen trækkraft komme over på den anden side."
1242;"Livreddertårn";1;"Bemandet redningspost (rød og hvidstribet tårn) af specieluddannede kystlivreddere og udstyret med blandt andet hjertestartere, rescue boards og førstehjælpsudstyr."
2022;"Udsigtspunkt";1;"Punkt med en god udsigt. Ofte på toppen af en høj eller skrænt. Kan også være fra en bygning."
2031;"Fiskesø";1;"Put&take sø. Sted hvor man kan købe dagskort til at fiske efter udsatte fisk."
2041;"Rekreativt naturområde";1;"Naturområde hvor borgere kan opholde sig og rekreere. Fordybelsessted."
2051;"Park";1;"Grønt byområde anlagt med en blanding af buske, træer, blomster og græs."
2062;"Naturcenter";1;"Bygningsfacilitet som er udgangspunkt for offentlig naturformidling og aktivteter i et naturområde. Oftest med ansat personale."
2072;"Naturbase";1;"Plads i naturområde med mulighed for ophold, lån af grej, bålplads mm."
2082;"Naturskole";1;"Bygningsfacilitet med primært formål at facilitere naturaktiviteter og undervisning for skoler og institutioner o.lign."
2092;"Udstilling";1;"Offentlig tilgængelig formidling eller introduktion til et områdes natur- eller kulturforhold. Ofte placeret i mindre bygning eller vejrly."
2102;"Naturrum";1;"Bygning og støttepunkt for naturformidling efter Friluftsrådets koncept og definition."
2111;"Naturpark";1;"Naturpark af regional betydning, jf. mærkningsordning ved Friluftsrådet."
2121;"Nationalpark";1;"Nationalpark anerkendt af staten."
2132;"Kælkebakke";1;"Område med mulighed for at kælke, når der er snedække."
2141;"Terapihave";1;"Specielt indrettede haveanlæg med terapeutisk og stressforebyggende formål."
2151;"Spiselig vegetation";1;"Areal med offentligt tilgængelige spiselige planter, frugt, nødder, grønsager mm."
2161;"Oplevelsespunkt";1;"Plads i naturområde eller friluftsanlæg med mulighed for ophold, naturoplevelser, evt. lån af grej, bålplads, information mm. Herunder oplevelsespunkt i havne f.eks. kaldet Oplevelseshavn."
3031;"Teltplads";1;"Sted til at slå telt op for overnatning."
3041;"Campingplads";1;"Overnatningssted til campingvogne og telte."
3051;"Hytter og Lejrskoler";1;"Udlejningshytter med plads til mange. Typiske med sovesale og storkøkken."
3061;"Feriecenter";1;"En samling ferielejligheder, der danner rammen om familiens ophold på feriecenteret, samt en række fælles faciliteter, hvor der tilbydes en bred vifte af aktiviteter."
4011;"Idrætshal";1;"Kaldes også for sportshal. Stor hal hvor i der kan dyrkes en eller flere former for fysisk sport."
4021;"Svømmehal";1;"Opvarmet svømmebassin inde i en bygning."
4031;"Idrætsanlæg";1;"Bane hvor på der kan dyrkes en eller flere former for fysisk sport, f.eks. atletik, fodbold, baseball mm."
4041;"Cykelbane";1;"Område til fx MTB  og BMX."
4051;"Agilitybane";1;"Agilitybane er en hundesportsbane, hvor hundene skal tage en række forhindringer korrekt og i den rette rækkefølge."
4061;"Modelflyveplads";1;"”Lufthavn” for modelflyvere."
4071;"Skøjtebane";1;"Bane til skøjteløb om vinteren på søer eller kunstige isbaner i byer både indendørs og udendørs."
4081;"Minigolfbane";1;"Anlæg til at spille minigolf på, hvor banelængden normalt er under 10 m."
4091;"Golfbane";1;"En golfbane er et idrætsanlæg, hvorpå man spiller golf. Den består af et antal huller, oftest 18, men for mindre baners vedkommende 9, mens store baner kan have 27 eller 36 huller."
1012;"Toilet";1;"WC i bygning/muldtoilet, der er åbent for offentligheden."
1061;"Blå Flag strand";1;"Badeområde eller havne, der er tildelt Blå Flag."
1172;"Ladestation";1;"Ladestation til el-cykler."
1252;"Livredderpost";1;"Ubemandet redningspost der typisk indeholder: Vejlednig, 1 redningskrans, 1 sejldugstaske med 220 m nylon line, 2 redningsveste, 2 gjordbælter med karbinhage og evt. isstige og issyle."
3022;"Kano/kajak overnatningsplads";1;"Rasteplads til kano-/kajakfarer med mulighed for overnatning."
4101;"Discgolfanlæg";1;"Område med udpegede fairways og opstillede ”kurve” til spillet frisbee-golf/discgolf."
4111;"Boldbane";1;"Baner indrettet til boldspil."
4121;"Skydebaneanlæg";1;"En eller flere baner til skydning, fx kort- og langdistanceskydning."
4132;"Pentanquebane";1;"En eller flere baner til petanque."
4142;"Skateranlæg";1;"Anlæg, plads eller bane som rummer anlagte udfordringer til skatere, BMXcykler m.fl."
4152;"Parkouranlæg";1;"Plads/område med særlige faciliteter til at udøve parkour i."
4161;"Rideanlæg";1;"Placering for ridecenter eller –klub."
4172;"Beachvolleybane";1;"Udendørs areal afsat til spillet beachvolley."
4191;"Kitesurf område";1;"Område anvist til kitesurfing."
4201;"Windsurfområde";1;"Område anvist til windsurfing."
4211;"Kitebuggyområde";1;"Område anvist til kørsel med kitebuggy."
4231;"Flugtskydningsbane";1;"Lerdueskydningsbane."
4241;"Motorsportsbane";1;"Bane, hvor der udøves motorsport."
4251;"Ketchersportsanlæg";1;"Udendørs og/eller indendørs anlæg eller bane til ketchersport, herunder tennis og squash."
4262;"Rulleskøjtebane";1;"Udendørs eller indendørs anlæg indrettet til rulleskøjteløb."
4272;"Klatreanlæg";1;"Område med opsatte klatreudfordringer eller forhindringsbane f.eks. i træer, klatrevægge, wireforløb mm."
4281;"Cricketbane";1;"Bane til spillet Cricket"
4291;"Krolfbane";1;"Bane til spillet Krolf"
4301;"UV-jagtspot";1;"Område der er velegnet til undervands-jagt."
5011;"Forsamlingshus";1;"Et forsamlingshus er byens kulturhus og mødested."
5021;"Museum";1;"Museum er en permanent institution med udstilling og formidling af f.eks. kunst, kulturhistorie eller naturhistorie."
5031;"Teater";1;"Sted, hvor der opføres teater eller andre kulturelle opførelser. Herunder også amfiteater."
5041;"Forlystelsesanlæg";1;"En park med flere faste forlystelser, typisk for hele familien."
5051;"Biograf";1;"En biograf er et sted, sædvanligvis en bygning, hvor man fremviser film."
5061;"Foreningshus";1;"Hus der kan huse en række forskellige foreningers aktiviteter og administration."
5072;"Formidling af fortidsminder";1;"Særligt udvalgte fortidsminder til fokus."
5082;"Historiske steder";1;"Lokalitet eller område, hvor særlige historiske begivenheder har fundet sted."
5092;"Lokal- eller sogne-arkiv";1;"Lokalt arkiv til opbevaring af indsamlet viden om kultur og historie i nærmiljøet – herunder evt også kirkehistorie."
5102;"Kunst";1;"Udendørs kunst, som fx skulpturer, gavlmalerier og land-art"
6011;"Bådplads";1;"Fortøjningssted til både/joller."
6021;"Rostadion";1;"Område på sø til konkurrence roning."
6031;"Umotoriseret sejlads tilladt";1;"Område, hvor det er tilladt at sejle i kano el. lign. Udpeges f.eks. på vandflade, hvor der ellers er generelt sejlforbud."
6042;"Sejlsports- og roklub";1;"Klubhus, hvorfra der udøves sejlsport."
9981;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
9991;"Ukendt";1;"Mangler viden om typen."
4182;"Dykkerspot";1;"Område med seværdigheder og oplevelsesmuligheder under vand, fx vrag, rev, dyreliv mv."
4222;"Udendørs Fitness/Motionsplads";1;"Baner, områder og redskaber under åben himmel, evt. i naturen som er designet til at dyrke motion og fitness, fx naturfitness, sundhedsplads, motionsplads, pulspark mv."
6052;"Kano-/kajakrasteplads";1;"Rasteplads til kano- og/eller kajakfarer samt SUP (StandUpPadleboard)."
1051;"Badestrand/-sted";1;"Område, der anvendes til badning. Særligt udpegede, servicerede ikke nødvendigvis certificerede. Fælles navn for hav- og søbade."
1132;"Tørvejrsrum/Madpakkehus";1;"Halvåbent, overdækket sted, hvor du kan raste og spise medbragt mad."
1201;"Borde-bænke/Picnic";1;"Plads med borde, siddepladser, evt. hængekøjer og andre ting til roligt ophold."
1122;"Cykelpumpestation/-servicepost";1;"Sted hvor der er opstillet cykelpumpe og evt. andre faciliteter til service af cykler."
2012;"Fugletårn/Udsigtstårn";1;"Platform, tårn eller skjul som giver mulighed for udsigt over et område eller særlige seværdigheder, fx udsyn til områdets fugle, dyreliv, landskab mv."
2171;"Frit fiskeri";1;"Område ved sø eller å, hvor der er en udvidet ret ud over den almindelig ret til at fiske ved danske kyster med gyldigt dansk fisketegn."
3071;"Fri teltning";1;"Større område, hvor der frit må slås telt op og overnattes en enkelt nat, uden at der skal søges tilladelse i forvejen. Der må højest slå to telte og teltene må maks være trepersoners telte."
4311;"Snorkelsti/-område";1;"Rute/område under vandet til snorkling, markeret f.eks. med et tov langs bunden eller med bøjer. Der kan i forbindelse med ruten formidles om de ting der kan opleves, fx via billeder, tekst eller effekter."
1261;"Badevandsflag";1;"Badeområde der er tildelt badevandsflag, der ikke er Blå Flag."
6062;"Ophaler-/isætningsplads";1;"Plads til isætning optagning af ikke motoriserede småbåde (kano, kajak o.lign.)"
2183;"Geopark";1;"Et særligt udpeget naturområde, hvor den geologiske historie kan studeres og opleves. Geoparker har til formål at beskytte, formidle og understøtte den geologiske arv."
2191;"Seværdighed - Fauna";1;"Seværdighed indenfor dyreriget"
2201;"Seværdighed – Flora";1;"Seværdighed indenfor planteriget"
2211;"Seværdighed – Geologi";1;"Geologisk seværdighed "
2223;"Naturkanon";1;"Statens udpegede steder. Naturkanon steder/områder. Indmeldes kun af staten/MST."
3081;"Hængekøjelund";1;"Område indrettet enten med træer eller pæle, som er placeret med en afstand, som passer til at opsætte hængekøjer imellem. De anvendes ofte til overnatning af store grupper, som ønsker at sove i hængekøje."
3091;"Bålhytte";1;"Overdækket bålsted. Ofte med delvis sidebeklædning og hul i taget, så røgen kan slippe ud."
4322;"Orienteringsrute startpunkt";1;"""Find vej i""/orienteringsrute med afmærkede poster, hvor det handler om at finde vej til de opsatte poster ved hjælp af et kort. Viser blot startpunktet/-pælen."
4332;"Orienteringsrute slutpunkt";1;"""Find vej i""/orienteringsrute med afmærkede poster, hvor det handler om at finde vej til de opsatte poster ved hjælp af et kort. Viser blot slutpunktet/-pælen."
4342;"Bindebom";1;"Sted hvor man kan tøjre en hest"
4351;"Skibakke";1;"Område med mulighed for at stå på ski i forbindelse med snevejr."
4361;"Fodboldgolf";1;"Anlæg/bane til fodboldgolf."
4371;"Bueskydning";1;"Bane til bueskydning."
4381;"Strandhåndboldbane";1;"Bane hvor man kan spille strandhåndbold."
6071;"Svajeplads";1;"Svajeplads/Bøje med mulighed for opankning."
6081;"Vandscooter tilladt";1;"Sejlads med vandscooter tilladt. Dog i 300m-kystzonen kun vinkelret på kysten og med max 5 knob."
1112;"Motionsmødested";1;"Herunder trailhead og lignende. Mødested hvorfra flere rekreative ruter udgår, som kan være udgangspunkt for fælles motion og aktivitet. Ved et Trailhead findes infotavler eller anden form for information, p-plads og evt. andre simple faciliteter i umiddelbar nærhed."
1152;"Info-tavle";1;"Opstillet skilt, planche eller tavle med information om et område og dets muligheder."
1191;"Hundeskov/Hundepark/fritløbsareal";1;"Særligt udpeget og eventuelt indhegnet område for hundeluftning, hvor hunde må løbe frit, under forudsætning af ”fuld kontrol af hunden”. Kommunale og private områder."
1272;"Badevandsflag facilitet";1;"Faciliteter til strande med badevandsflag, der ikke er Blå Flag, f.eks. førstehjælpskasser, skilte på vandkvalitetsmålinger, nødtelefon."
1281;"Hesteophold";1;"Mindre indhegning m.v. til heste, som kan benyttes i forbindelse med midlertidigt ophold. Evt. en del af et høhotel."
1302;"Formidlingscenter";1;"Herunder trailcenter, gateway, port mv. Sted eller bygning som er udgangs- og knudepunkt for formidling af natur og aktiviteter samt oplevelser og ophold i det omkringliggende landskab. Indeholder relevante services og faciliteter eller skiltning/vejvisning dertil."
1062;"Badepunkt";1;"Badested tildelt Det nordiske kystflag."
3012;"Shelter";1;"Primitiv overdækket overnatningsmulighed. En shelter kan være alt fra nogle stolper og en presenning, over klassiske sheltere, til simple hytter med overnatningspladser. Åbne i en eller flere sider."
1291;"Holdeplads";1;"Holdeplads i tilknytning til rekreative områder/faciliteter og som ikke er registreret andre steder. Man kan angive om holdepladsen er egnet til f.eks. hestetrailer i beskrivelsesfeltet."
1311;"Spang";1;"Simpel bro. Typisk bestående af udlagte stammer eller brædder."
1321;"Stente";1;"Lille dobbelt stige med form som et omvendt V der fører over et hegn eller gærde omkring en mark med fx køer."
1331;"Badebro";1;"Bro med adgang til badning."
1341;"Bro";1;"Bro."
4391;"Hundetræningsareal";1;"Areal hvor man kan træne hunde."
2231;"Naturnationalpark";1;"Statens udpegede naturnationalparker."