cvr_kode;cvr_navn;kommunekode;aktiv
66137112;"Albertslund Kommune";165;1
60183112;"Allerød Kommune";201;1
29189692;"Assens Kommune";420;1
58271713;"Ballerup Kommune";151;1
29189765;"Billund Kommune";530;1
26696348;"Bornholms Regionskommune";400;1
65113015;"Brøndby Kommune";153;1
29189501;"Brønderslev Kommune";810;1
25775635;"Christiansø";411;1
12881517;"Dragør Kommune";155;1
29188386;"Egedal Kommune";240;1
29189803;"Esbjerg Kommune";561;1
31210917;"Fanø Kommune";563;1
29189714;"Favrskov Kommune";710;1
29188475;"Faxe Kommune";320;1
29188335;"Fredensborg Kommune";210;1
69116418;"Fredericia Kommune";607;1
11259979;"Frederiksberg Kommune";147;1
29189498;"Frederikshavn Kommune";813;1
29189129;"Frederikssund Kommune";250;1
29188327;"Furesø Kommune";190;1
29188645;"Faaborg-Midtfyn Kommune";430;1
19438414;"Gentofte Kommune";157;1
62761113;"Gladsaxe Kommune";159;1
65120119;"Glostrup Kommune";161;1
44023911;"Greve Kommune";253;1
29188440;"Gribskov Kommune";270;1
29188599;"Guldborgsund Kommune";376;1
29189757;"Haderslev Kommune";510;1
29188416;"Halsnæs Kommune";260;1
29189587;"Hedensted Kommune";766;1
64502018;"Helsingør Kommune";217;1
63640719;"Herlev Kommune";163;1
29189919;"Herning Kommune";657;1
29189366;"Hillerød Kommune";219;1
29189382;"Hjørring Kommune";860;1
29189447;"Holbæk Kommune";316;1
29189927;"Holstebro Kommune";661;1
29189889;"Horsens Kommune";615;1
55606617;"Hvidovre Kommune";167;1
19501817;"Høje-Taastrup Kommune";169;1
70960516;"Hørsholm Kommune";223;1
29189617;"Ikast-Brande Kommune";756;1
11931316;"Ishøj Kommune";183;1
29189439;"Jammerbugt Kommune";849;1
29189595;"Kalundborg Kommune";326;1
29189706;"Kerteminde Kommune";440;1
29189897;"Kolding Kommune";621;1
64942212;"Københavns Kommune";101;1
29189374;"Køge Kommune";259;1
29188955;"Langeland Kommune";482;1
29188548;"Lejre Kommune";350;1
29189935;"Lemvig Kommune";665;1
29188572;"Lolland Kommune";360;1
11715311;"Lyngby-Taarbæk Kommune";173;1
45973328;"Læsø Kommune";825;1
29189455;"Mariagerfjord Kommune";846;1
29189684;"Middelfart Kommune";410;1
41333014;"Morsø Kommune";773;1
29189986;"Norddjurs Kommune";707;1
29188947;"Nordfyns Kommune";480;1
29189722;"Nyborg Kommune";450;1
29189625;"Næstved Kommune";370;1
32264328;"Odder Kommune";727;1
35209115;"Odense Kommune";461;1
29188459;"Odsherred Kommune";306;1
29189668;"Randers Kommune";730;1
29189463;"Rebild Kommune";840;1
29189609;"Ringkøbing-Skjern Kommune";760;1
18957981;"Ringsted Kommune";329;1
29189404;"Roskilde Kommune";265;1
29188378;"Rudersdal Kommune";230;1
65307316;"Rødovre Kommune";175;1
23795515;"Samsø Kommune";741;1
29189641;"Silkeborg Kommune";740;1
29189633;"Skanderborg Kommune";746;1
29189579;"Skive Kommune";779;1
29188505;"Slagelse Kommune";330;1
68534917;"Solrød Kommune";269;1
29189994;"Sorø Kommune";340;1
29208654;"Stevns Kommune";336;1
29189951;"Struer Kommune";671;1
29189730;"Svendborg Kommune";479;1
29189978;"Syddjurs Kommune";706;1
29189773;"Sønderborg Kommune";540;1
29189560;"Thisted Kommune";787;1
29189781;"Tønder Kommune";550;1
20310413;"Tårnby Kommune";185;1
19583910;"Vallensbæk Kommune";187;1
29189811;"Varde Kommune";573;1
29189838;"Vejen Kommune";575;1
29189900;"Vejle Kommune";630;1
29189471;"Vesthimmerlands Kommune";820;1
29189846;"Viborg Kommune";791;1
29189676;"Vordingborg Kommune";390;1
28856075;"Ærø Kommune";492;1
29189854;"Aabenraa Kommune";580;1
29189420;"Aalborg Kommune";851;1
55133018;"Aarhus Kommune";751;1
99999999;"Nan";999;1
33157274;"Naturstyrelsen";999;1
25798376;"Miljøstyrelsen";999;1
33284114;"Styrelsen for Dataforsyning og Effektivisering";"";1
16287180;"Forsvarsministeriets Ejendomsstyrelse";"";1